conflict,value,kind
   2500,       2,"l-restart"
   2500,       0,"g-restart"
   2500,    1259,"l-folding"
   2500,    1259,"g-folding"
   2500,     844,"solved"
   5000,      14,"l-restart"
   5000,       0,"g-restart"
   5000,    1707,"l-folding"
   5000,    1707,"g-folding"
   5000,     844,"solved"
   7500,      31,"l-restart"
   7500,       0,"g-restart"
   7500,    2084,"l-folding"
   7500,    2084,"g-folding"
   7500,     844,"solved"
  10000,      59,"l-restart"
  10000,       0,"g-restart"
  10000,    2282,"l-folding"
  10000,    2282,"g-folding"
  10000,     844,"solved"
  12500,      59,"l-restart"
  12500,       0,"g-restart"
  12500,    2355,"l-folding"
  12500,    2355,"g-folding"
  12500,     844,"solved"
  15000,      59,"l-restart"
  15000,       0,"g-restart"
  15000,    2457,"l-folding"
  15000,    2457,"g-folding"
  15000,     844,"solved"
  17500,     165,"l-restart"
  17500,       1,"g-restart"
  17500,    1048,"l-folding"
  17500,    3242,"g-folding"
  17500,     854,"solved"
  20000,     216,"l-restart"
  20000,       1,"g-restart"
  20000,    2071,"l-folding"
  20000,    4245,"g-folding"
  20000,     855,"solved"
  22500,     258,"l-restart"
  22500,       1,"g-restart"
  22500,    2397,"l-folding"
  22500,    4571,"g-folding"
  22500,     855,"solved"
  25000,     282,"l-restart"
  25000,       1,"g-restart"
  25000,    2879,"l-folding"
  25000,    5051,"g-folding"
  25000,     855,"solved"
  27500,     318,"l-restart"
  27500,       1,"g-restart"
  27500,    3196,"l-folding"
  27500,    5367,"g-folding"
  27500,     855,"solved"
  30000,     338,"l-restart"
  30000,       1,"g-restart"
  30000,    3666,"l-folding"
  30000,    5837,"g-folding"
  30000,     855,"solved"
  32500,     338,"l-restart"
  32500,       1,"g-restart"
  32500,    3792,"l-folding"
  32500,    5963,"g-folding"
  32500,     855,"solved"
  35000,     338,"l-restart"
  35000,       1,"g-restart"
  35000,    4311,"l-folding"
  35000,    6166,"g-folding"
  35000,     855,"solved"
  37500,     338,"l-restart"
  37500,       1,"g-restart"
  37500,    5355,"l-folding"
  37500,    7137,"g-folding"
  37500,     855,"solved"
  40000,     341,"l-restart"
  40000,       1,"g-restart"
  40000,    5746,"l-folding"
  40000,    7528,"g-folding"
  40000,     855,"solved"
  42500,     341,"l-restart"
  42500,       1,"g-restart"
  42500,    6151,"l-folding"
  42500,    7933,"g-folding"
  42500,     855,"solved"
  45000,     349,"l-restart"
  45000,       1,"g-restart"
  45000,    6656,"l-folding"
  45000,    8424,"g-folding"
  45000,     856,"solved"
  47500,     353,"l-restart"
  47500,       1,"g-restart"
  47500,    6841,"l-folding"
  47500,    8609,"g-folding"
  47500,     856,"solved"
  50000,     353,"l-restart"
  50000,       1,"g-restart"
  50000,    7287,"l-folding"
  50000,    9055,"g-folding"
  50000,     856,"solved"
  52500,     353,"l-restart"
  52500,       1,"g-restart"
  52500,    7939,"l-folding"
  52500,    9690,"g-folding"
  52500,     859,"solved"
  55000,     355,"l-restart"
  55000,       1,"g-restart"
  55000,    8470,"l-folding"
  55000,   10221,"g-folding"
  55000,     859,"solved"
  57500,     355,"l-restart"
  57500,       1,"g-restart"
  57500,    8945,"l-folding"
  57500,   10696,"g-folding"
  57500,     859,"solved"
  60000,     359,"l-restart"
  60000,       1,"g-restart"
  60000,    9190,"l-folding"
  60000,   10941,"g-folding"
  60000,     859,"solved"
  62500,     359,"l-restart"
  62500,       1,"g-restart"
  62500,    9370,"l-folding"
  62500,   11121,"g-folding"
  62500,     859,"solved"
  65000,     362,"l-restart"
  65000,       1,"g-restart"
  65000,    9952,"l-folding"
  65000,   11703,"g-folding"
  65000,     859,"solved"
  67500,     362,"l-restart"
  67500,       1,"g-restart"
  67500,   10645,"l-folding"
  67500,   12396,"g-folding"
  67500,     859,"solved"
  70000,     362,"l-restart"
  70000,       1,"g-restart"
  70000,   10846,"l-folding"
  70000,   12597,"g-folding"
  70000,     859,"solved"
  72500,     372,"l-restart"
  72500,       1,"g-restart"
  72500,   11135,"l-folding"
  72500,   12868,"g-folding"
  72500,     859,"solved"
  75000,     373,"l-restart"
  75000,       1,"g-restart"
  75000,   11739,"l-folding"
  75000,   13472,"g-folding"
  75000,     859,"solved"
  77500,     380,"l-restart"
  77500,       1,"g-restart"
  77500,   12185,"l-folding"
  77500,   13918,"g-folding"
  77500,     859,"solved"
  80000,     381,"l-restart"
  80000,       1,"g-restart"
  80000,   12594,"l-folding"
  80000,   14327,"g-folding"
  80000,     859,"solved"
  82500,     381,"l-restart"
  82500,       1,"g-restart"
  82500,   12735,"l-folding"
  82500,   14468,"g-folding"
  82500,     859,"solved"
  85000,     382,"l-restart"
  85000,       1,"g-restart"
  85000,   12858,"l-folding"
  85000,   14591,"g-folding"
  85000,     859,"solved"
  87500,     386,"l-restart"
  87500,       1,"g-restart"
  87500,   13484,"l-folding"
  87500,   15217,"g-folding"
  87500,     859,"solved"
  90000,     396,"l-restart"
  90000,       1,"g-restart"
  90000,   13970,"l-folding"
  90000,   15702,"g-folding"
  90000,     859,"solved"
  92500,     396,"l-restart"
  92500,       1,"g-restart"
  92500,   14580,"l-folding"
  92500,   16282,"g-folding"
  92500,     859,"solved"
  95000,     396,"l-restart"
  95000,       1,"g-restart"
  95000,   14891,"l-folding"
  95000,   16593,"g-folding"
  95000,     859,"solved"
  97500,     396,"l-restart"
  97500,       1,"g-restart"
  97500,   15072,"l-folding"
  97500,   16774,"g-folding"
  97500,     859,"solved"
 100000,     396,"l-restart"
 100000,       1,"g-restart"
 100000,   15338,"l-folding"
 100000,   17034,"g-folding"
 100000,     859,"solved"
 102500,     396,"l-restart"
 102500,       1,"g-restart"
 102500,   15930,"l-folding"
 102500,   17621,"g-folding"
 102500,     859,"solved"
 105000,     396,"l-restart"
 105000,       1,"g-restart"
 105000,   16391,"l-folding"
 105000,   17862,"g-folding"
 105000,     876,"solved"
 107500,     399,"l-restart"
 107500,       1,"g-restart"
 107500,   16651,"l-folding"
 107500,   18086,"g-folding"
 107500,     876,"solved"
 110000,     404,"l-restart"
 110000,       1,"g-restart"
 110000,   16874,"l-folding"
 110000,   18234,"g-folding"
 110000,     876,"solved"
 112500,     427,"l-restart"
 112500,       1,"g-restart"
 112500,   17044,"l-folding"
 112500,   18372,"g-folding"
 112500,     876,"solved"
 115000,     436,"l-restart"
 115000,       1,"g-restart"
 115000,   17751,"l-folding"
 115000,   19076,"g-folding"
 115000,     877,"solved"
 117500,     447,"l-restart"
 117500,       1,"g-restart"
 117500,   17963,"l-folding"
 117500,   19288,"g-folding"
 117500,     877,"solved"
 120000,     482,"l-restart"
 120000,       1,"g-restart"
 120000,   18093,"l-folding"
 120000,   19418,"g-folding"
 120000,     877,"solved"
 122500,     482,"l-restart"
 122500,       1,"g-restart"
 122500,   18367,"l-folding"
 122500,   19692,"g-folding"
 122500,     877,"solved"
 125000,     482,"l-restart"
 125000,       1,"g-restart"
 125000,   18782,"l-folding"
 125000,   20107,"g-folding"
 125000,     877,"solved"
 127500,     483,"l-restart"
 127500,       1,"g-restart"
 127500,   19329,"l-folding"
 127500,   20654,"g-folding"
 127500,     877,"solved"
 130000,     483,"l-restart"
 130000,       1,"g-restart"
 130000,   19633,"l-folding"
 130000,   20958,"g-folding"
 130000,     877,"solved"
 132500,     483,"l-restart"
 132500,       1,"g-restart"
 132500,   19864,"l-folding"
 132500,   21189,"g-folding"
 132500,     877,"solved"
 135000,     489,"l-restart"
 135000,       1,"g-restart"
 135000,   20241,"l-folding"
 135000,   21566,"g-folding"
 135000,     877,"solved"
 137500,     489,"l-restart"
 137500,       1,"g-restart"
 137500,   20668,"l-folding"
 137500,   21993,"g-folding"
 137500,     877,"solved"
 140000,     489,"l-restart"
 140000,       1,"g-restart"
 140000,   20789,"l-folding"
 140000,   22114,"g-folding"
 140000,     877,"solved"
 142500,     492,"l-restart"
 142500,       1,"g-restart"
 142500,   20863,"l-folding"
 142500,   22188,"g-folding"
 142500,     877,"solved"
 145000,     495,"l-restart"
 145000,       1,"g-restart"
 145000,   21002,"l-folding"
 145000,   22323,"g-folding"
 145000,     884,"solved"
 147500,     495,"l-restart"
 147500,       1,"g-restart"
 147500,   21225,"l-folding"
 147500,   22546,"g-folding"
 147500,     884,"solved"
 150000,     495,"l-restart"
 150000,       1,"g-restart"
 150000,   21334,"l-folding"
 150000,   22655,"g-folding"
 150000,     884,"solved"
 152500,     495,"l-restart"
 152500,       1,"g-restart"
 152500,   21560,"l-folding"
 152500,   22871,"g-folding"
 152500,     884,"solved"
 155000,     495,"l-restart"
 155000,       1,"g-restart"
 155000,   21730,"l-folding"
 155000,   23037,"g-folding"
 155000,     884,"solved"
 157500,     496,"l-restart"
 157500,       1,"g-restart"
 157500,   21966,"l-folding"
 157500,   23273,"g-folding"
 157500,     884,"solved"
 160000,     496,"l-restart"
 160000,       1,"g-restart"
 160000,   22073,"l-folding"
 160000,   23380,"g-folding"
 160000,     884,"solved"
 162500,     498,"l-restart"
 162500,       1,"g-restart"
 162500,   22380,"l-folding"
 162500,   23687,"g-folding"
 162500,     884,"solved"
 165000,     500,"l-restart"
 165000,       1,"g-restart"
 165000,   22431,"l-folding"
 165000,   23738,"g-folding"
 165000,     884,"solved"
 167500,     502,"l-restart"
 167500,       1,"g-restart"
 167500,   22804,"l-folding"
 167500,   24111,"g-folding"
 167500,     894,"solved"
 170000,     505,"l-restart"
 170000,       1,"g-restart"
 170000,   23046,"l-folding"
 170000,   24353,"g-folding"
 170000,     894,"solved"
 172500,     507,"l-restart"
 172500,       1,"g-restart"
 172500,   23454,"l-folding"
 172500,   24761,"g-folding"
 172500,     894,"solved"
 175000,     507,"l-restart"
 175000,       1,"g-restart"
 175000,   23765,"l-folding"
 175000,   25072,"g-folding"
 175000,     894,"solved"
 177500,     507,"l-restart"
 177500,       1,"g-restart"
 177500,   23957,"l-folding"
 177500,   25264,"g-folding"
 177500,     894,"solved"
 180000,     507,"l-restart"
 180000,       1,"g-restart"
 180000,   24061,"l-folding"
 180000,   25368,"g-folding"
 180000,     894,"solved"
 182500,     507,"l-restart"
 182500,       1,"g-restart"
 182500,   24491,"l-folding"
 182500,   25798,"g-folding"
 182500,     894,"solved"
 185000,     510,"l-restart"
 185000,       1,"g-restart"
 185000,   24583,"l-folding"
 185000,   25890,"g-folding"
 185000,     894,"solved"
 187500,     510,"l-restart"
 187500,       1,"g-restart"
 187500,   24647,"l-folding"
 187500,   25954,"g-folding"
 187500,     894,"solved"
 190000,       0,"l-restart"
 190000,       2,"g-restart"
 190000,     363,"l-folding"
 190000,   25997,"g-folding"
 190000,     894,"solved"
 192500,      21,"l-restart"
 192500,       2,"g-restart"
 192500,    1151,"l-folding"
 192500,   26115,"g-folding"
 192500,     903,"solved"
 195000,      21,"l-restart"
 195000,       2,"g-restart"
 195000,    1655,"l-folding"
 195000,   26193,"g-folding"
 195000,     908,"solved"
 197500,      92,"l-restart"
 197500,       2,"g-restart"
 197500,    2320,"l-folding"
 197500,   26297,"g-folding"
 197500,     910,"solved"
 200000,      92,"l-restart"
 200000,       2,"g-restart"
 200000,    3174,"l-folding"
 200000,   26572,"g-folding"
 200000,     927,"solved"
 202500,     132,"l-restart"
 202500,       2,"g-restart"
 202500,    3796,"l-folding"
 202500,   26794,"g-folding"
 202500,     927,"solved"
 205000,     132,"l-restart"
 205000,       2,"g-restart"
 205000,    4466,"l-folding"
 205000,   26874,"g-folding"
 205000,     927,"solved"
 207500,     132,"l-restart"
 207500,       2,"g-restart"
 207500,    5436,"l-folding"
 207500,   27123,"g-folding"
 207500,     927,"solved"
 210000,     132,"l-restart"
 210000,       2,"g-restart"
 210000,    5941,"l-folding"
 210000,   27207,"g-folding"
 210000,     927,"solved"
 212500,     132,"l-restart"
 212500,       2,"g-restart"
 212500,    6241,"l-folding"
 212500,   27290,"g-folding"
 212500,     927,"solved"
 215000,     132,"l-restart"
 215000,       2,"g-restart"
 215000,    6801,"l-folding"
 215000,   27482,"g-folding"
 215000,     933,"solved"
 217500,     132,"l-restart"
 217500,       2,"g-restart"
 217500,    7666,"l-folding"
 217500,   27578,"g-folding"
 217500,     933,"solved"
 220000,     132,"l-restart"
 220000,       2,"g-restart"
 220000,    8118,"l-folding"
 220000,   27643,"g-folding"
 220000,     933,"solved"
 222500,     132,"l-restart"
 222500,       2,"g-restart"
 222500,    8733,"l-folding"
 222500,   27946,"g-folding"
 222500,     933,"solved"
 225000,     133,"l-restart"
 225000,       2,"g-restart"
 225000,    9404,"l-folding"
