#conflict,#confvar,#multiconf,#fold,#multifold
   1000,-1.87611,-2.20430,-2.08820,-2.34027
   2000,-1.58901,-1.90443,-1.80729,-2.05551
   3000,-1.47164,-1.76032,-1.70075,-1.92850
   4000,-1.27105,-1.63685,-1.45677,-1.76539
   5000,-1.09943,-1.55160,-1.25239,-1.62933
   6000,-0.98794,-1.45594,-1.13416,-1.50955
   7000,-0.90327,-1.37725,-1.03860,-1.41728
   8000,-0.83672,-1.30121,-0.97882,-1.33361
   9000,-0.77798,-1.23853,-0.91594,-1.26887
  10000,-0.72764,-1.18444,-0.86496,-1.21136
  11000,-0.68898,-1.13020,-0.83632,-1.16397
  12000,-0.65151,-1.08076,-0.79886,-1.11721
  13000,-0.62108,-1.03892,-0.76735,-1.07901
  14000,-0.59311,-0.99727,-0.73885,-1.04389
  15000,-0.56479,-0.96086,-0.71482,-1.01066
  16000,-0.53961,-0.92505,-0.69148,-0.97799
  17000,-0.52106,-0.89050,-0.67779,-0.95372
  18000,-0.50170,-0.85912,-0.66183,-0.93049
  19000,-0.48263,-0.83214,-0.64393,-0.90879
  20000,-0.46563,-0.80431,-0.62599,-0.88700
  21000,-0.44998,-0.77833,-0.61108,-0.86689
  22000,-0.43710,-0.75655,-0.60107,-0.84973
  23000,-0.42994,-0.74093,-0.59788,-0.84338
  24000,-0.42716,-0.73463,-0.59696,-0.84226
  25000,-0.42556,-0.72975,-0.59598,-0.84074
  26000,-0.42138,-0.72176,-0.59374,-0.83532
  27000,-0.41885,-0.71603,-0.59271,-0.83313
  28000,-0.41732,-0.71098,-0.59185,-0.83075
  29000,-0.41474,-0.70473,-0.59020,-0.82711
  30000,-0.41292,-0.70017,-0.58918,-0.82438
  31000,-0.41228,-0.69747,-0.58805,-0.82301
  32000,-0.41179,-0.69573,-0.58715,-0.82195
  33000,-0.41138,-0.69472,-0.58687,-0.82146
  34000,-0.41089,-0.69371,-0.58647,-0.82089
  35000,-0.41044,-0.69277,-0.58625,-0.82050
  36000,-0.41014,-0.69155,-0.58602,-0.82040
  37000,-0.40980,-0.69040,-0.58574,-0.82011
  38000,-0.40954,-0.68969,-0.58552,-0.82002
  39000,-0.40942,-0.68919,-0.58540,-0.81944
  40000,-0.40928,-0.68869,-0.58535,-0.81934
  41000,-0.40905,-0.68805,-0.58495,-0.81877
  42000,-0.40898,-0.68755,-0.58479,-0.81848
  43000,-0.40883,-0.68720,-0.58462,-0.81838
  44000,-0.40868,-0.68706,-0.58439,-0.81829
  45000,-0.40860,-0.68670,-0.58434,-0.81790
  46000,-0.40856,-0.68649,-0.58428,-0.81742
  47000,-0.40849,-0.68635,-0.58423,-0.81733
  48000,-0.40819,-0.68536,-0.58395,-0.81666
  49000,-0.40789,-0.68486,-0.58372,-0.81627
  50000,-0.40771,-0.68430,-0.58350,-0.81608
  51000,-0.40741,-0.68352,-0.58311,-0.81532
  52000,-0.40722,-0.68289,-0.58277,-0.81484
  53000,-0.40711,-0.68254,-0.58249,-0.81437
  54000,-0.40703,-0.68219,-0.58233,-0.81418
  55000,-0.40685,-0.68177,-0.58216,-0.81380
  56000,-0.40670,-0.68128,-0.58210,-0.81370
  57000,-0.40666,-0.68121,-0.58205,-0.81351
  58000,-0.40663,-0.68114,-0.58171,-0.81275
  59000,-0.40644,-0.68065,-0.58166,-0.81256
  60000,-0.40633,-0.68058,-0.58149,-0.81237
  61000,-0.40625,-0.68044,-0.58127,-0.81200
  62000,-0.40614,-0.68023,-0.58121,-0.81171
  63000,-0.40603,-0.68016,-0.58105,-0.81162
  64000,-0.40603,-0.68009,-0.58088,-0.81114
  65000,-0.40599,-0.67981,-0.58071,-0.81105
  66000,-0.40547,-0.67855,-0.57999,-0.80982
  67000,-0.40503,-0.67709,-0.57955,-0.80888
  68000,-0.40414,-0.67502,-0.57910,-0.80832
  69000,-0.40366,-0.67378,-0.57883,-0.80813
  70000,-0.40336,-0.67309,-0.57855,-0.80785
  71000,-0.40325,-0.67282,-0.57844,-0.80757
  72000,-0.40314,-0.67247,-0.57833,-0.80720
  73000,-0.40303,-0.67234,-0.57833,-0.80692
  74000,-0.40303,-0.67220,-0.57833,-0.80664
  75000,-0.40303,-0.67213,-0.57827,-0.80664
  76000,-0.40296,-0.67192,-0.57816,-0.80617
  77000,-0.40285,-0.67172,-0.57805,-0.80607
  78000,-0.40281,-0.67172,-0.57805,-0.80589
  79000,-0.40266,-0.67144,-0.57794,-0.80589
  80000,-0.40266,-0.67131,-0.57789,-0.80570
  81000,-0.40263,-0.67124,-0.57778,-0.80570
  82000,-0.40259,-0.67124,-0.57778,-0.80570
  83000,-0.40248,-0.67097,-0.57772,-0.80542
  84000,-0.40237,-0.67090,-0.57772,-0.80542
  85000,-0.40222,-0.67083,-0.57756,-0.80533
  86000,-0.40222,-0.67083,-0.57756,-0.80524
  87000,-0.40215,-0.67076,-0.57750,-0.80505
  88000,-0.40211,-0.67069,-0.57750,-0.80505
  89000,-0.40211,-0.67062,-0.57750,-0.80496
  90000,-0.40204,-0.67042,-0.57750,-0.80496
  91000,-0.40196,-0.67021,-0.57750,-0.80496
  92000,-0.40189,-0.67008,-0.57750,-0.80496
  93000,-0.40185,-0.67001,-0.57745,-0.80486
  94000,-0.40182,-0.67001,-0.57745,-0.80477
  95000,-0.40178,-0.66994,-0.57739,-0.80477
  96000,-0.40171,-0.66974,-0.57739,-0.80468
  97000,-0.40171,-0.66974,-0.57723,-0.80458
  98000,-0.40163,-0.66974,-0.57706,-0.80431
  99000,-0.40163,-0.66967,-0.57701,-0.80421
 100000,-0.40163,-0.66960,-0.57690,-0.80403
 101000,-0.38784,-0.65334,-0.55851,-0.78860
 102000,-0.37516,-0.63710,-0.54296,-0.77189
 103000,-0.36271,-0.62108,-0.52701,-0.75381
 104000,-0.35251,-0.60552,-0.51348,-0.73893
 105000,-0.34104,-0.59231,-0.50110,-0.72376
 106000,-0.33136,-0.57794,-0.48919,-0.71098
 107000,-0.32262,-0.56265,-0.48130,-0.69798
 108000,-0.31529,-0.54927,-0.47385,-0.68663
 109000,-0.30880,-0.53785,-0.46786,-0.67932
 110000,-0.30275,-0.52559,-0.46135,-0.66804
 111000,-0.29613,-0.51348,-0.45415,-0.65704
 112000,-0.28994,-0.50337,-0.44781,-0.64825
 113000,-0.28519,-0.49399,-0.44337,-0.64098
 114000,-0.27924,-0.48440,-0.43822,-0.63232
 115000,-0.27449,-0.47651,-0.43376,-0.62574
 116000,-0.26931,-0.46734,-0.42895,-0.61865
 117000,-0.26496,-0.45891,-0.42382,-0.60977
 118000,-0.26029,-0.44924,-0.41969,-0.60235
 119000,-0.25530,-0.44119,-0.41569,-0.59707
 120000,-0.25151,-0.43368,-0.41194,-0.59071
 121000,-0.24749,-0.42583,-0.40744,-0.58462
 122000,-0.24369,-0.41805,-0.40359,-0.57783
 123000,-0.24005,-0.41100,-0.40002,-0.57284
 124000,-0.23752,-0.40655,-0.39899,-0.57034
 125000,-0.23591,-0.40318,-0.39779,-0.56747
 126000,-0.23421,-0.39976,-0.39695,-0.56527
 127000,-0.23348,-0.39771,-0.39659,-0.56431
 128000,-0.23166,-0.39419,-0.39495,-0.56212
 129000,-0.22810,-0.38805,-0.39091,-0.55667
 130000,-0.22439,-0.38274,-0.38727,-0.55103
 131000,-0.22280,-0.37871,-0.38628,-0.54917
 132000,-0.22183,-0.37676,-0.38596,-0.54881
 133000,-0.22134,-0.37582,-0.38578,-0.54855
 134000,-0.22117,-0.37523,-0.38560,-0.54839
 135000,-0.22081,-0.37420,-0.38539,-0.54814
 136000,-0.21924,-0.37086,-0.38380,-0.54531
 137000,-0.21625,-0.36511,-0.38014,-0.54007
 138000,-0.21328,-0.35903,-0.37700,-0.53559
 139000,-0.21081,-0.35323,-0.37451,-0.53076
 140000,-0.20812,-0.34826,-0.37134,-0.52613
 141000,-0.20518,-0.34351,-0.36816,-0.52131
 142000,-0.20273,-0.33858,-0.36524,-0.51730
 143000,-0.20046,-0.33371,-0.36285,-0.51334
 144000,-0.19912,-0.33067,-0.36194,-0.51168
 145000,-0.19880,-0.32920,-0.36177,-0.51144
 146000,-0.19852,-0.32870,-0.36171,-0.51115
 147000,-0.19804,-0.32771,-0.36161,-0.51092
 148000,-0.19755,-0.32607,-0.36147,-0.50993
 149000,-0.19712,-0.32499,-0.36134,-0.50974
 150000,-0.19675,-0.32434,-0.36107,-0.50927
 151000,-0.19620,-0.32345,-0.36053,-0.50861
 152000,-0.19590,-0.32271,-0.36027,-0.50832
 153000,-0.19563,-0.32198,-0.36010,-0.50785
 154000,-0.19439,-0.31954,-0.35803,-0.50551
 155000,-0.19234,-0.31548,-0.35525,-0.50137
 156000,-0.19060,-0.31118,-0.35195,-0.49792
 157000,-0.18823,-0.30720,-0.34966,-0.49485
 158000,-0.18661,-0.30375,-0.34751,-0.49244
 159000,-0.18453,-0.30024,-0.34538,-0.48942
 160000,-0.18306,-0.29676,-0.34280,-0.48641
