#conflict,#confvar,#multiconf,#fold,#multifold
   1000,-4.02930,-4.30175,-4.00072,-4.33033
   2000,-3.64700,-3.88912,-3.68809,-4.00769
   3000,-3.42210,-3.66899,-3.48229,-3.78838
   4000,-3.27598,-3.52777,-3.35620,-3.64946
   5000,-3.23473,-3.45983,-3.32040,-3.59947
   6000,-3.19101,-3.41379,-3.28440,-3.55218
   7000,-3.11762,-3.33869,-3.20717,-3.46827
   8000,-3.06101,-3.27002,-3.15149,-3.40213
   9000,-3.02842,-3.22050,-3.12199,-3.35557
  10000,-3.01278,-3.19424,-3.10848,-3.32505
  11000,-3.00294,-3.17009,-3.10145,-3.31211
  12000,-2.99563,-3.15721,-3.09162,-3.29571
  13000,-2.99047,-3.14896,-3.08603,-3.28546
  14000,-2.98098,-3.13536,-3.07506,-3.26848
  15000,-2.96464,-3.11062,-3.05392,-3.24093
  16000,-2.96021,-3.10163,-3.05018,-3.23425
  17000,-2.95136,-3.08536,-3.04342,-3.22050
  18000,-2.94853,-3.07869,-3.03947,-3.21097
  19000,-2.88561,-3.03735,-2.96122,-3.17481
  20000,-2.83783,-3.00197,-2.91638,-3.13216
  21000,-2.80129,-2.96822,-2.87950,-3.10145
  22000,-2.76269,-2.93631,-2.83964,-3.06790
  23000,-2.74908,-2.92189,-2.82196,-3.05127
  24000,-2.74239,-2.91016,-2.81505,-3.03811
  25000,-2.71719,-2.88487,-2.79093,-3.01578
  26000,-2.69290,-2.86237,-2.76574,-2.98926
  27000,-2.67745,-2.84261,-2.75250,-2.97131
  28000,-2.67061,-2.82731,-2.74707,-2.95795
  29000,-2.66546,-2.81686,-2.74346,-2.95037
  30000,-2.65150,-2.79859,-2.72636,-2.93039
  31000,-2.64056,-2.78408,-2.71769,-2.91650
  32000,-2.63564,-2.77346,-2.71353,-2.90781
  33000,-2.62807,-2.76213,-2.70358,-2.89853
  34000,-2.61507,-2.74737,-2.69079,-2.88296
  35000,-2.59696,-2.72901,-2.67313,-2.86348
  36000,-2.59045,-2.71719,-2.66514,-2.84919
  37000,-2.58585,-2.70906,-2.66183,-2.83954
  38000,-2.58188,-2.70323,-2.65874,-2.83348
  39000,-2.57957,-2.69969,-2.65761,-2.82982
  40000,-2.57753,-2.69673,-2.65686,-2.82750
  41000,-2.57648,-2.69419,-2.65604,-2.82555
  42000,-2.56915,-2.68314,-2.64946,-2.81478
  43000,-2.56553,-2.67679,-2.64298,-2.80507
  44000,-2.55470,-2.66533,-2.62989,-2.79290
  45000,-2.53709,-2.65224,-2.61122,-2.77642
  46000,-2.53085,-2.64383,-2.60439,-2.76566
  47000,-2.52814,-2.63941,-2.60256,-2.76165
  48000,-2.51911,-2.63083,-2.59304,-2.75109
  49000,-2.51299,-2.62271,-2.58671,-2.74422
  50000,-2.49536,-2.61099,-2.56614,-2.73265
  51000,-2.48066,-2.59942,-2.55007,-2.71993
  52000,-2.47321,-2.59126,-2.54273,-2.71289
  53000,-2.46338,-2.58093,-2.53301,-2.69955
  54000,-2.45151,-2.56869,-2.52190,-2.68715
  55000,-2.44596,-2.55938,-2.51751,-2.67870
  56000,-2.44208,-2.55297,-2.51389,-2.67235
  57000,-2.43900,-2.54772,-2.51057,-2.66822
  58000,-2.43763,-2.54515,-2.50949,-2.66565
  59000,-2.42728,-2.53918,-2.49726,-2.65912
  60000,-2.41254,-2.52833,-2.48233,-2.64481
  61000,-2.40465,-2.52171,-2.47531,-2.63749
  62000,-2.39368,-2.51258,-2.46302,-2.62725
  63000,-2.38394,-2.50391,-2.45472,-2.61684
  64000,-2.37537,-2.49600,-2.44534,-2.61009
  65000,-2.36402,-2.48600,-2.43432,-2.59843
  66000,-2.35354,-2.47551,-2.42294,-2.58756
  67000,-2.34772,-2.46738,-2.41677,-2.57868
  68000,-2.34527,-2.46230,-2.41451,-2.57379
  69000,-2.34353,-2.45867,-2.41358,-2.57105
  70000,-2.34256,-2.45685,-2.41304,-2.56961
  71000,-2.33911,-2.45350,-2.40959,-2.56497
  72000,-2.33087,-2.44453,-2.40019,-2.55445
  73000,-2.32455,-2.43907,-2.39453,-2.54768
  74000,-2.32246,-2.43496,-2.39180,-2.54384
  75000,-2.31566,-2.42865,-2.38629,-2.53637
  76000,-2.31081,-2.42236,-2.38074,-2.53029
  77000,-2.30892,-2.41945,-2.37915,-2.52768
  78000,-2.30425,-2.41333,-2.37583,-2.52323
  79000,-2.30142,-2.40905,-2.37334,-2.51970
