conflict,value,kind
   2500,      34,"l-restart"
   2500,       0,"g-restart"
   2500,     653,"l-folding"
   2500,     653,"g-folding"
   2500,    1067,"solved"
   5000,     128,"l-restart"
   5000,       0,"g-restart"
   5000,    1128,"l-folding"
   5000,    1128,"g-folding"
   5000,    1067,"solved"
   7500,     156,"l-restart"
   7500,       0,"g-restart"
   7500,    1460,"l-folding"
   7500,    1460,"g-folding"
   7500,    1070,"solved"
  10000,     156,"l-restart"
  10000,       0,"g-restart"
  10000,    1697,"l-folding"
  10000,    1697,"g-folding"
  10000,    1070,"solved"
  12500,     157,"l-restart"
  12500,       0,"g-restart"
  12500,    1817,"l-folding"
  12500,    1817,"g-folding"
  12500,    1073,"solved"
  15000,     157,"l-restart"
  15000,       0,"g-restart"
  15000,    1933,"l-folding"
  15000,    1933,"g-folding"
  15000,    1073,"solved"
  17500,     163,"l-restart"
  17500,       0,"g-restart"
  17500,    2032,"l-folding"
  17500,    2032,"g-folding"
  17500,    1073,"solved"
  20000,     164,"l-restart"
  20000,       0,"g-restart"
  20000,    2074,"l-folding"
  20000,    2074,"g-folding"
  20000,    1073,"solved"
  22500,     164,"l-restart"
  22500,       0,"g-restart"
  22500,    2152,"l-folding"
  22500,    2152,"g-folding"
  22500,    1073,"solved"
  25000,       0,"l-restart"
  25000,       1,"g-restart"
  25000,     135,"l-folding"
  25000,    2198,"g-folding"
  25000,    1073,"solved"
  27500,       7,"l-restart"
  27500,       1,"g-restart"
  27500,     458,"l-folding"
  27500,    2263,"g-folding"
  27500,    1073,"solved"
  30000,      10,"l-restart"
  30000,       1,"g-restart"
  30000,     591,"l-folding"
  30000,    2298,"g-folding"
  30000,    1073,"solved"
  32500,      10,"l-restart"
  32500,       1,"g-restart"
  32500,     704,"l-folding"
  32500,    2334,"g-folding"
  32500,    1073,"solved"
  35000,      10,"l-restart"
  35000,       1,"g-restart"
  35000,     826,"l-folding"
  35000,    2391,"g-folding"
  35000,    1073,"solved"
  37500,      10,"l-restart"
  37500,       1,"g-restart"
  37500,     916,"l-folding"
  37500,    2433,"g-folding"
  37500,    1073,"solved"
  40000,      10,"l-restart"
  40000,       1,"g-restart"
  40000,    1011,"l-folding"
  40000,    2474,"g-folding"
  40000,    1073,"solved"
  42500,      14,"l-restart"
  42500,       1,"g-restart"
  42500,    1074,"l-folding"
  42500,    2493,"g-folding"
  42500,    1073,"solved"
  45000,       0,"l-restart"
  45000,       2,"g-restart"
  45000,     248,"l-folding"
  45000,    2513,"g-folding"
  45000,    1073,"solved"
  47500,       0,"l-restart"
  47500,       2,"g-restart"
  47500,     440,"l-folding"
  47500,    2540,"g-folding"
  47500,    1073,"solved"
  50000,       0,"l-restart"
  50000,       2,"g-restart"
  50000,     834,"l-folding"
  50000,    2720,"g-folding"
  50000,    1073,"solved"
  52500,      21,"l-restart"
  52500,       2,"g-restart"
  52500,    1039,"l-folding"
  52500,    2817,"g-folding"
  52500,    1073,"solved"
  55000,      35,"l-restart"
  55000,       2,"g-restart"
  55000,    1177,"l-folding"
  55000,    2899,"g-folding"
  55000,    1073,"solved"
  57500,      35,"l-restart"
  57500,       2,"g-restart"
  57500,    1279,"l-folding"
  57500,    2950,"g-folding"
  57500,    1073,"solved"
  60000,      38,"l-restart"
  60000,       2,"g-restart"
  60000,    1352,"l-folding"
  60000,    2980,"g-folding"
  60000,    1073,"solved"
  62500,      38,"l-restart"
  62500,       2,"g-restart"
  62500,    1464,"l-folding"
  62500,    3035,"g-folding"
  62500,    1073,"solved"
  65000,      44,"l-restart"
  65000,       2,"g-restart"
  65000,    1564,"l-folding"
  65000,    3099,"g-folding"
  65000,    1073,"solved"
  67500,      49,"l-restart"
  67500,       2,"g-restart"
  67500,    1612,"l-folding"
  67500,    3125,"g-folding"
  67500,    1073,"solved"
  70000,       0,"l-restart"
  70000,       3,"g-restart"
  70000,     356,"l-folding"
  70000,    3162,"g-folding"
  70000,    1073,"solved"
  72500,       0,"l-restart"
  72500,       3,"g-restart"
  72500,     606,"l-folding"
  72500,    3224,"g-folding"
  72500,    1073,"solved"
  75000,       4,"l-restart"
  75000,       3,"g-restart"
  75000,     846,"l-folding"
  75000,    3294,"g-folding"
  75000,    1073,"solved"
  77500,      26,"l-restart"
  77500,       3,"g-restart"
  77500,     983,"l-folding"
  77500,    3353,"g-folding"
  77500,    1073,"solved"
  80000,      38,"l-restart"
  80000,       3,"g-restart"
  80000,    1075,"l-folding"
  80000,    3376,"g-folding"
  80000,    1073,"solved"
  82500,       0,"l-restart"
  82500,       4,"g-restart"
  82500,     121,"l-folding"
  82500,    3398,"g-folding"
  82500,    1073,"solved"
  85000,       1,"l-restart"
  85000,       4,"g-restart"
  85000,     416,"l-folding"
  85000,    3428,"g-folding"
  85000,    1073,"solved"
  87500,       4,"l-restart"
  87500,       4,"g-restart"
  87500,     604,"l-folding"
  87500,    3460,"g-folding"
  87500,    1073,"solved"
  90000,      25,"l-restart"
  90000,       4,"g-restart"
  90000,     768,"l-folding"
  90000,    3495,"g-folding"
  90000,    1073,"solved"
  92500,      32,"l-restart"
  92500,       4,"g-restart"
  92500,     842,"l-folding"
  92500,    3516,"g-folding"
  92500,    1073,"solved"
  95000,      37,"l-restart"
  95000,       4,"g-restart"
  95000,     933,"l-folding"
  95000,    3536,"g-folding"
  95000,    1073,"solved"
  97500,      45,"l-restart"
  97500,       4,"g-restart"
  97500,    1036,"l-folding"
  97500,    3564,"g-folding"
  97500,    1073,"solved"
 100000,      45,"l-restart"
 100000,       4,"g-restart"
 100000,    1099,"l-folding"
 100000,    3578,"g-folding"
 100000,    1073,"solved"
 102500,      45,"l-restart"
 102500,       4,"g-restart"
 102500,    1232,"l-folding"
 102500,    3617,"g-folding"
 102500,    1073,"solved"
 105000,      45,"l-restart"
 105000,       4,"g-restart"
 105000,    1301,"l-folding"
 105000,    3636,"g-folding"
 105000,    1073,"solved"
 107500,      45,"l-restart"
 107500,       4,"g-restart"
 107500,    1344,"l-folding"
 107500,    3647,"g-folding"
 107500,    1073,"solved"
 110000,      46,"l-restart"
 110000,       4,"g-restart"
 110000,    1410,"l-folding"
 110000,    3668,"g-folding"
 110000,    1073,"solved"
 112500,      46,"l-restart"
 112500,       4,"g-restart"
 112500,    1451,"l-folding"
 112500,    3686,"g-folding"
 112500,    1073,"solved"
 115000,      46,"l-restart"
