conflict,value,kind
   2500,     155,"l-restart"
   2500,       0,"g-restart"
   2500,    1179,"l-folding"
   2500,    1179,"g-folding"
   2500,     852,"solved"
   5000,     306,"l-restart"
   5000,       0,"g-restart"
   5000,    1521,"l-folding"
   5000,    1521,"g-folding"
   5000,     852,"solved"
   7500,     425,"l-restart"
   7500,       0,"g-restart"
   7500,    1730,"l-folding"
   7500,    1730,"g-folding"
   7500,     852,"solved"
  10000,     532,"l-restart"
  10000,       0,"g-restart"
  10000,    2279,"l-folding"
  10000,    2279,"g-folding"
  10000,     852,"solved"
  12500,     624,"l-restart"
  12500,       0,"g-restart"
  12500,    2459,"l-folding"
  12500,    2459,"g-folding"
  12500,     852,"solved"
  15000,     649,"l-restart"
  15000,       0,"g-restart"
  15000,    3173,"l-folding"
  15000,    3173,"g-folding"
  15000,     852,"solved"
  17500,     665,"l-restart"
  17500,       0,"g-restart"
  17500,    3783,"l-folding"
  17500,    3783,"g-folding"
  17500,     852,"solved"
  20000,     681,"l-restart"
  20000,       0,"g-restart"
  20000,    3959,"l-folding"
  20000,    3959,"g-folding"
  20000,     852,"solved"
  22500,     719,"l-restart"
  22500,       0,"g-restart"
  22500,    4089,"l-folding"
  22500,    4089,"g-folding"
  22500,     852,"solved"
  25000,       0,"l-restart"
  25000,       1,"g-restart"
  25000,     583,"l-folding"
  25000,    4451,"g-folding"
  25000,     855,"solved"
  27500,       0,"l-restart"
  27500,       1,"g-restart"
  27500,     924,"l-folding"
  27500,    4753,"g-folding"
  27500,     855,"solved"
  30000,       0,"l-restart"
  30000,       1,"g-restart"
  30000,    1319,"l-folding"
  30000,    5123,"g-folding"
  30000,     855,"solved"
  32500,       3,"l-restart"
  32500,       1,"g-restart"
  32500,    2291,"l-folding"
  32500,    5824,"g-folding"
  32500,     863,"solved"
  35000,     100,"l-restart"
  35000,       1,"g-restart"
  35000,    3232,"l-folding"
  35000,    6745,"g-folding"
  35000,     863,"solved"
  37500,     100,"l-restart"
  37500,       1,"g-restart"
  37500,    3537,"l-folding"
  37500,    7050,"g-folding"
  37500,     863,"solved"
  40000,     100,"l-restart"
  40000,       1,"g-restart"
  40000,    3667,"l-folding"
  40000,    7179,"g-folding"
  40000,     863,"solved"
  42500,     107,"l-restart"
  42500,       1,"g-restart"
  42500,    3808,"l-folding"
  42500,    7320,"g-folding"
  42500,     863,"solved"
  45000,     176,"l-restart"
  45000,       2,"g-restart"
  45000,     400,"l-folding"
  45000,    7377,"g-folding"
  45000,     883,"solved"
  47500,     183,"l-restart"
  47500,       2,"g-restart"
  47500,    1067,"l-folding"
  47500,    8032,"g-folding"
  47500,     883,"solved"
  50000,     187,"l-restart"
  50000,       2,"g-restart"
  50000,    1623,"l-folding"
  50000,    8525,"g-folding"
  50000,     883,"solved"
  52500,     187,"l-restart"
  52500,       2,"g-restart"
  52500,    1909,"l-folding"
  52500,    8789,"g-folding"
  52500,     883,"solved"
  55000,     268,"l-restart"
  55000,       2,"g-restart"
  55000,    2851,"l-folding"
  55000,    9671,"g-folding"
  55000,     883,"solved"
  57500,     280,"l-restart"
  57500,       2,"g-restart"
  57500,    3428,"l-folding"
  57500,   10239,"g-folding"
  57500,     883,"solved"
  60000,     280,"l-restart"
  60000,       2,"g-restart"
  60000,    3555,"l-folding"
  60000,   10365,"g-folding"
  60000,     883,"solved"
  62500,     333,"l-restart"
  62500,       2,"g-restart"
  62500,    3848,"l-folding"
  62500,   10651,"g-folding"
  62500,     883,"solved"
  65000,     346,"l-restart"
  65000,       2,"g-restart"
  65000,    4262,"l-folding"
  65000,   11064,"g-folding"
  65000,     883,"solved"
  67500,     347,"l-restart"
  67500,       2,"g-restart"
  67500,    4673,"l-folding"
  67500,   11376,"g-folding"
  67500,     883,"solved"
  70000,     370,"l-restart"
  70000,       2,"g-restart"
  70000,    5232,"l-folding"
  70000,   11788,"g-folding"
  70000,     894,"solved"
  72500,     383,"l-restart"
  72500,       2,"g-restart"
  72500,    5398,"l-folding"
  72500,   11871,"g-folding"
  72500,     894,"solved"
  75000,     413,"l-restart"
  75000,       2,"g-restart"
  75000,    5918,"l-folding"
  75000,   12326,"g-folding"
  75000,     894,"solved"
  77500,     430,"l-restart"
  77500,       2,"g-restart"
  77500,    6081,"l-folding"
  77500,   12489,"g-folding"
  77500,     895,"solved"
  80000,     432,"l-restart"
  80000,       2,"g-restart"
  80000,    6271,"l-folding"
  80000,   12678,"g-folding"
  80000,     895,"solved"
  82500,     469,"l-restart"
  82500,       2,"g-restart"
  82500,    7024,"l-folding"
  82500,   13385,"g-folding"
  82500,     895,"solved"
  85000,     469,"l-restart"
  85000,       2,"g-restart"
  85000,    7303,"l-folding"
  85000,   13663,"g-folding"
  85000,     895,"solved"
  87500,     559,"l-restart"
  87500,       2,"g-restart"
  87500,    7692,"l-folding"
  87500,   14040,"g-folding"
  87500,     897,"solved"
  90000,     610,"l-restart"
  90000,       2,"g-restart"
  90000,    8250,"l-folding"
  90000,   14597,"g-folding"
  90000,     897,"solved"
  92500,     816,"l-restart"
  92500,       2,"g-restart"
  92500,    9035,"l-folding"
  92500,   15375,"g-folding"
  92500,     897,"solved"
  95000,    1082,"l-restart"
  95000,       2,"g-restart"
  95000,    9483,"l-folding"
  95000,   15820,"g-folding"
  95000,     897,"solved"
  97500,    1160,"l-restart"
  97500,       2,"g-restart"
  97500,   10298,"l-folding"
  97500,   16631,"g-folding"
  97500,     897,"solved"
 100000,    1296,"l-restart"
 100000,       2,"g-restart"
 100000,   10887,"l-folding"
 100000,   17220,"g-folding"
 100000,     897,"solved"
 102500,    1471,"l-restart"
 102500,       2,"g-restart"
 102500,   11089,"l-folding"
 102500,   17421,"g-folding"
 102500,     914,"solved"
 105000,    1471,"l-restart"
 105000,       2,"g-restart"
 105000,   11428,"l-folding"
 105000,   17474,"g-folding"
 105000,     942,"solved"
 107500,    1564,"l-restart"
 107500,       2,"g-restart"
 107500,   11739,"l-folding"
 107500,   17630,"g-folding"
 107500,     943,"solved"
 110000,    1867,"l-restart"
 110000,       2,"g-restart"
 110000,   11884,"l-folding"
 110000,   17775,"g-folding"
 110000,     943,"solved"
 112500,      58,"l-restart"
 112500,       3,"g-restart"
 112500,     683,"l-folding"
 112500,   17984,"g-folding"
 112500,     943,"solved"
 115000,      58,"l-restart"
 115000,       3,"g-restart"
 115000,    1439,"l-folding"
 115000,   18481,"g-folding"
 115000,     943,"solved"
 117500,     159,"l-restart"
 117500,       3,"g-restart"
 117500,    2240,"l-folding"
 117500,   18716,"g-folding"
 117500,     982,"solved"
 120000,     260,"l-restart"
 120000,       3,"g-restart"
 120000,    2903,"l-folding"
 120000,   18799,"g-folding"
 120000,     983,"solved"
 122500,     304,"l-restart"
 122500,       3,"g-restart"
 122500,    3660,"l-folding"
 122500,   19142,"g-folding"
 122500,    1001,"solved"
 125000,     441,"l-restart"
 125000,       3,"g-restart"
 125000,    4067,"l-folding"
 125000,   19433,"g-folding"
 125000,    1001,"solved"
 127500,     446,"l-restart"
 127500,       3,"g-restart"
 127500,    4563,"l-folding"
 127500,   19903,"g-folding"
 127500,    1001,"solved"
 130000,     446,"l-restart"
 130000,       3,"g-restart"
 130000,    4762,"l-folding"
 130000,   20047,"g-folding"
 130000,    1001,"solved"
 132500,     578,"l-restart"
 132500,       3,"g-restart"
 132500,    5209,"l-folding"
 132500,   20308,"g-folding"
 132500,    1001,"solved"
 135000,     754,"l-restart"
 135000,       3,"g-restart"
 135000,    5613,"l-folding"
 135000,   20443,"g-folding"
 135000,    1010,"solved"
 137500,     800,"l-restart"
 137500,       3,"g-restart"
 137500,    5931,"l-folding"
 137500,   20476,"g-folding"
 137500,    1019,"solved"
 140000,     806,"l-restart"
 140000,       3,"g-restart"
 140000,    6529,"l-folding"
 140000,   20764,"g-folding"
 140000,    1023,"solved"
 142500,     883,"l-restart"
 142500,       3,"g-restart"
 142500,    7006,"l-folding"
 142500,   21094,"g-folding"
 142500,    1023,"solved"
 145000,    1014,"l-restart"
 145000,       3,"g-restart"
 145000,    7334,"l-folding"
 145000,   21334,"g-folding"
 145000,    1023,"solved"
 147500,    1036,"l-restart"
 147500,       3,"g-restart"
 147500,    7792,"l-folding"
 147500,   21557,"g-folding"
 147500,    1024,"solved"
 150000,    1037,"l-restart"
 150000,       3,"g-restart"
 150000,    8321,"l-folding"
 150000,   21658,"g-folding"
 150000,    1024,"solved"
 152500,    1359,"l-restart"
 152500,       3,"g-restart"
 152500,    8807,"l-folding"
 152500,   21722,"g-folding"
 152500,    1024,"solved"
 155000,    1691,"l-restart"
 155000,       3,"g-restart"
 155000,    9067,"l-folding"
 155000,   21792,"g-folding"
 155000,    1024,"solved"
 157500,    1732,"l-restart"
 157500,       3,"g-restart"
 157500,    9539,"l-folding"
 157500,   21967,"g-folding"
 157500,    1024,"solved"
 160000,    1813,"l-restart"
 160000,       3,"g-restart"
 160000,   10037,"l-folding"
 160000,   22342,"g-folding"
 160000,    1024,"solved"
 162500,    2053,"l-restart"
 162500,       3,"g-restart"
 162500,   10298,"l-folding"
 162500,   22505,"g-folding"
 162500,    1024,"solved"
 165000,    2133,"l-restart"
 165000,       3,"g-restart"
 165000,   10761,"l-folding"
 165000,   22723,"g-folding"
 165000,    1024,"solved"
 167500,    2383,"l-restart"
 167500,       3,"g-restart"
 167500,   11376,"l-folding"
 167500,   22818,"g-folding"
 167500,    1024,"solved"
 170000,    2466,"l-restart"
 170000,       3,"g-restart"
 170000,   11691,"l-folding"
 170000,   22977,"g-folding"
 170000,    1024,"solved"
 172500,    2728,"l-restart"
 172500,       3,"g-restart"
 172500,   11843,"l-folding"
 172500,   23054,"g-folding"
 172500,    1024,"solved"
 175000,    2830,"l-restart"
 175000,       3,"g-restart"
 175000,   12404,"l-folding"
 175000,   23237,"g-folding"
 175000,    1024,"solved"
 177500,    2872,"l-restart"
 177500,       3,"g-restart"
 177500,   12677,"l-folding"
 177500,   23387,"g-folding"
 177500,    1024,"solved"
 180000,    2890,"l-restart"
 180000,       3,"g-restart"
 180000,   13118,"l-folding"
 180000,   23476,"g-folding"
 180000,    1024,"solved"
 182500,    2925,"l-restart"
 182500,       3,"g-restart"
 182500,   13589,"l-folding"
 182500,   23683,"g-folding"
 182500,    1024,"solved"
 185000,    3149,"l-restart"
 185000,       3,"g-restart"
 185000,   14154,"l-folding"
 185000,   23999,"g-folding"
 185000,    1024,"solved"
 187500,    3492,"l-restart"
 187500,       3,"g-restart"
 187500,   14284,"l-folding"
 187500,   24091,"g-folding"
 187500,    1024,"solved"
 190000,    3759,"l-restart"
 190000,       3,"g-restart"
 190000,   14448,"l-folding"
 190000,   24233,"g-folding"
 190000,    1024,"solved"
 192500,    3847,"l-restart"
 192500,       3,"g-restart"
 192500,   14694,"l-folding"
 192500,   24345,"g-folding"
 192500,    1025,"solved"
 195000,    3847,"l-restart"
 195000,       3,"g-restart"
 195000,   14999,"l-folding"
 195000,   24508,"g-folding"
 195000,    1025,"solved"
 197500,    3870,"l-restart"
 197500,       3,"g-restart"
 197500,   15186,"l-folding"
 197500,   24568,"g-folding"
 197500,    1025,"solved"
 200000,    4013,"l-restart"
 200000,       3,"g-restart"
 200000,   15339,"l-folding"
 200000,   24644,"g-folding"
 200000,    1025,"solved"
 202500,     125,"l-restart"
 202500,       4,"g-restart"
 202500,     528,"l-folding"
 202500,   24730,"g-folding"
 202500,    1025,"solved"
 205000,     155,"l-restart"
 205000,       4,"g-restart"
 205000,    1701,"l-folding"
 205000,   24858,"g-folding"
 205000,    1025,"solved"
 207500,     158,"l-restart"
 207500,       4,"g-restart"
 207500,    2525,"l-folding"
 207500,   25079,"g-folding"
 207500,    1025,"solved"
 210000,     251,"l-restart"
 210000,       4,"g-restart"
 210000,    3105,"l-folding"
 210000,   25238,"g-folding"
 210000,    1025,"solved"
 212500,     363,"l-restart"
 212500,       4,"g-restart"
 212500,    3588,"l-folding"
 212500,   25670,"g-folding"
 212500,    1027,"solved"
 215000,     393,"l-restart"
 215000,       4,"g-restart"
 215000,    3920,"l-folding"
 215000,   25849,"g-folding"
 215000,    1027,"solved"
 217500,     621,"l-restart"
 217500,       4,"g-restart"
 217500,    4981,"l-folding"
 217500,   26605,"g-folding"
 217500,    1027,"solved"
 220000,    1106,"l-restart"
 220000,       4,"g-restart"
 220000,    5360,"l-folding"
 220000,   26912,"g-folding"
 220000,    1027,"solved"
 222500,    1582,"l-restart"
 222500,       4,"g-restart"
 222500,    5483,"l-folding"
 222500,   26990,"g-folding"
 222500,    1027,"solved"
 225000,    1750,"l-restart"
 225000,       4,"g-restart"
 225000,    5701,"l-folding"
 225000,   27192,"g-folding"
 225000,    1028,"solved"
 227500,    1790,"l-restart"
 227500,       4,"g-restart"
 227500,    5924,"l-folding"
 227500,   27403,"g-folding"
 227500,    1028,"solved"
 230000,    1790,"l-restart"
 230000,       4,"g-restart"
 230000,    6138,"l-folding"
 230000,   27474,"g-folding"
 230000,    1028,"solved"
 232500,    1790,"l-restart"
 232500,       4,"g-restart"
 232500,    6518,"l-folding"
 232500,   27545,"g-folding"
 232500,    1028,"solved"
 235000,    1790,"l-restart"
 235000,       4,"g-restart"
 235000,    6707,"l-folding"
 235000,   27630,"g-folding"
 235000,    1028,"solved"
 237500,      21,"l-restart"
 237500,       5,"g-restart"
 237500,     630,"l-folding"
 237500,   27731,"g-folding"
 237500,    1042,"solved"
 240000,      59,"l-restart"
 240000,       5,"g-restart"
 240000,    1524,"l-folding"
 240000,   27848,"g-folding"
 240000,    1043,"solved"
 242500,     286,"l-restart"
 242500,       5,"g-restart"
 242500,    2359,"l-folding"
 242500,   27968,"g-folding"
 242500,    1043,"solved"
 245000,     306,"l-restart"
 245000,       5,"g-restart"
 245000,    2834,"l-folding"
 245000,   28102,"g-folding"
 245000,    1043,"solved"
 247500,     371,"l-restart"
 247500,       5,"g-restart"
 247500,    3502,"l-folding"
 247500,   28254,"g-folding"
 247500,    1043,"solved"
 250000,     853,"l-restart"
 250000,       5,"g-restart"
 250000,    4016,"l-folding"
 250000,   28358,"g-folding"
 250000,    1043,"solved"
 252500,    1286,"l-restart"
 252500,       5,"g-restart"
 252500,    4570,"l-folding"
 252500,   28441,"g-folding"
 252500,    1043,"solved"
 255000,    1520,"l-restart"
 255000,       5,"g-restart"
 255000,    5249,"l-folding"
 255000,   28693,"g-folding"
 255000,    1043,"solved"
 257500,    1651,"l-restart"
 257500,       5,"g-restart"
 257500,    5957,"l-folding"
 257500,   29016,"g-folding"
 257500,    1083,"solved"
 260000,    1876,"l-restart"
 260000,       5,"g-restart"
 260000,    6630,"l-folding"
 260000,   29373,"g-folding"
 260000,    1087,"solved"
 262500,    2192,"l-restart"
 262500,       5,"g-restart"
 262500,    7665,"l-folding"
 262500,   30108,"g-folding"
 262500,    1091,"solved"
 265000,    2584,"l-restart"
 265000,       5,"g-restart"
 265000,    8483,"l-folding"
 265000,   30788,"g-folding"
 265000,    1093,"solved"
 267500,    2676,"l-restart"
 267500,       5,"g-restart"
 267500,    8958,"l-folding"
 267500,   31191,"g-folding"
 267500,    1096,"solved"
 270000,    3136,"l-restart"
 270000,       5,"g-restart"
 270000,    9423,"l-folding"
 270000,   31471,"g-folding"
 270000,    1098,"solved"
 272500,    3316,"l-restart"
 272500,       5,"g-restart"
 272500,   10272,"l-folding"
 272500,   32139,"g-folding"
 272500,    1098,"solved"
 275000,    3552,"l-restart"
 275000,       5,"g-restart"
 275000,   10978,"l-folding"
 275000,   32664,"g-folding"
 275000,    1099,"solved"
 277500,    3778,"l-restart"
 277500,       5,"g-restart"
