conflict,value,kind
   2500,      48,"l-restart"
   2500,       0,"g-restart"
   2500,     657,"l-folding"
   2500,     657,"g-folding"
   2500,    1061,"solved"
   5000,     101,"l-restart"
   5000,       0,"g-restart"
   5000,    1342,"l-folding"
   5000,    1342,"g-folding"
   5000,    1070,"solved"
   7500,     142,"l-restart"
   7500,       0,"g-restart"
   7500,    1699,"l-folding"
   7500,    1699,"g-folding"
   7500,    1070,"solved"
  10000,     156,"l-restart"
  10000,       0,"g-restart"
  10000,    1915,"l-folding"
  10000,    1915,"g-folding"
  10000,    1073,"solved"
  12500,     178,"l-restart"
  12500,       0,"g-restart"
  12500,    2115,"l-folding"
  12500,    2115,"g-folding"
  12500,    1073,"solved"
  15000,     180,"l-restart"
  15000,       0,"g-restart"
  15000,    2281,"l-folding"
  15000,    2281,"g-folding"
  15000,    1076,"solved"
  17500,     182,"l-restart"
  17500,       0,"g-restart"
  17500,    2449,"l-folding"
  17500,    2449,"g-folding"
  17500,    1076,"solved"
  20000,     182,"l-restart"
  20000,       0,"g-restart"
  20000,    2616,"l-folding"
  20000,    2616,"g-folding"
  20000,    1079,"solved"
  22500,      30,"l-restart"
  22500,       1,"g-restart"
  22500,     510,"l-folding"
  22500,    2754,"g-folding"
  22500,    1079,"solved"
  25000,      30,"l-restart"
  25000,       1,"g-restart"
  25000,    1015,"l-folding"
  25000,    2885,"g-folding"
  25000,    1079,"solved"
  27500,      30,"l-restart"
  27500,       1,"g-restart"
  27500,    1245,"l-folding"
  27500,    2972,"g-folding"
  27500,    1079,"solved"
  30000,      41,"l-restart"
  30000,       1,"g-restart"
  30000,    1390,"l-folding"
  30000,    3016,"g-folding"
  30000,    1079,"solved"
  32500,      58,"l-restart"
  32500,       1,"g-restart"
  32500,    1502,"l-folding"
  32500,    3071,"g-folding"
  32500,    1079,"solved"
  35000,      58,"l-restart"
  35000,       1,"g-restart"
  35000,    1620,"l-folding"
  35000,    3136,"g-folding"
  35000,    1079,"solved"
  37500,      58,"l-restart"
  37500,       1,"g-restart"
  37500,    1748,"l-folding"
  37500,    3210,"g-folding"
  37500,    1079,"solved"
  40000,      58,"l-restart"
  40000,       1,"g-restart"
  40000,    1949,"l-folding"
  40000,    3330,"g-folding"
  40000,    1082,"solved"
  42500,      60,"l-restart"
  42500,       1,"g-restart"
  42500,    2066,"l-folding"
  42500,    3395,"g-folding"
  42500,    1082,"solved"
  45000,      61,"l-restart"
  45000,       1,"g-restart"
  45000,    2161,"l-folding"
  45000,    3454,"g-folding"
